{1, 0.922571757062828, 4.557841350218423*^-6}
{85, 0.9646923404559067 + 0.*I, 0.07441690714878636 + 0.*I}
{86, 0.964702122496154 + 0.*I, 0.07462171074075798 + 0.*I}
{87, 0.9647115766455483 + 0.*I, 0.07482216138638585 + 0.*I}
{88, 0.9647207169843418 + 0.*I, 0.07501839500322782 + 0.*I}
{89, 0.9647295576202066 + 0.*I, 0.07521054197130747 + 0.*I}
{90, 0.9647381115307396 + 0.*I, 0.07539872740882624 + 0.*I}
{91, 0.9647463906643643 + 0.*I, 0.07558307143186 + 0.*I}
{92, 0.9647544065052736 + 0.*I, 0.07576368939872401 + 0.*I}
{93, 0.9647621712775079 + 0.*I, 0.07594069214050467 + 0.*I}
{94, 0.9647696942011978 + 0.*I, 0.07611418617900247 + 0.*I}
{95, 0.9647769850754537 + 0.*I, 0.07628427393135014 + 0.*I}
{96, 0.9647840546336082 + 0.*I, 0.07645105390386352 + 0.*I}
{97, 0.9647909101792279 + 0.*I, 0.07661462087546034 + 0.*I}
{98, 0.964797561372415 + 0.*I, 0.07677506606992547 + 0.*I}
{99, 0.9648040164019184 + 0.*I, 0.076932477319862 + 0.*I}
{100, 0.9648102816175972 + 0.*I, 0.0770869392213809 + 0.*I}
