0.001	2.046479393028819e-11
0.003	2.027202135384473e-11
0.005	2.0180087273438927e-11
0.007	2.0119791985440406e-11
0.009000000000000001	2.0073685138000877e-11
0.011000000000000001	2.0037059831629385e-11
0.013000000000000001	2.0005626134513745e-11
0.015000000000000001	1.9979210154910874e-11
0.017	1.9955488475054735e-11
0.019000000000000003	1.9934783360103933e-11
0.021	1.991598394154505e-11
0.023	1.989816097390075e-11
0.025	1.988326266315626e-11
0.027	1.986747732833199e-11
0.029	1.9854414154929733e-11
0.031	1.9841332122285867e-11
0.033	1.9828308328624185e-11
0.035	1.9818122590702094e-11
0.037000000000000005	1.9808029626413823e-11
0.03900000000000001	1.9798585468815084e-11
0.041	1.9788264816472126e-11
0.043000000000000003	1.978021641062737e-11
0.045	1.977111420146687e-11
0.047	1.9762152730231426e-11
0.049	1.9754917256966948e-11
0.051000000000000004	1.9746526669266202e-11
0.053000000000000005	1.9739008776880768e-11
0.05500000000000001	1.973262149589553e-11
0.05700000000000001	1.9727163697309553e-11
0.059000000000000004	1.972037016576562e-11
0.061000000000000006	1.9710691215011354e-11
0.063	1.970694275456638e-11
0.065	1.9700225455575914e-11
0.067	1.969357680224534e-11
0.069	1.968923007652352e-11
0.07100000000000001	1.9684234634512355e-11
0.07300000000000001	1.9678651185133813e-11
0.07500000000000001	1.9674016459763754e-11
0.077	1.966877657774851e-11
0.079	1.96645582077542e-11
0.081	1.9659848102380435e-11
0.083	1.965451472659586e-11
0.085	1.9649967362690983e-11
0.08700000000000001	1.964548827053335e-11
0.089	1.964185065538252e-11
0.091	1.963764932098138e-11
0.093	1.9632293006035064e-11
0.095	1.96285483390833e-11
0.097	1.9624205885733322e-11
0.099	1.9618504055260917e-11
0.11	1.9599755799106328e-11
0.12	1.958168075036767e-11
0.13	1.9567204615088497e-11
0.14	1.9552790373060932e-11
0.15	1.9537119563588753e-11
0.16	1.9524812945781365e-11
0.16999999999999998	1.9512770861547374e-11
0.18	1.950230767009117e-11
0.19	1.9491760194004443e-11
0.2	1.948155384922405e-11
0.21000000000000002	1.9472194014030096e-11
0.22	1.9463385438501376e-11
0.22999999999999998	1.9454699108538646e-11
0.24	1.9447010706319054e-11
0.25	1.9439315772140262e-11
0.26	1.9432899203985147e-11
0.27	1.9424761718069998e-11
0.28	1.9419743032453232e-11
0.29000000000000004	1.9411255238365087e-11
0.30000000000000004	1.940434925189496e-11
0.31	1.9398193087009416e-11
0.32	1.9391711472441815e-11
0.33	1.9386611159139077e-11
0.34	1.938104629270756e-11
0.35000000000000003	1.9374680209956334e-11
0.36	1.9368529291442074e-11
0.37	1.9362359291416528e-11
0.38	1.9357290773527456e-11
0.39	1.9352538226480324e-11
0.4	1.934777749476544e-11
0.41000000000000003	1.9343285610194863e-11
0.42000000000000004	1.9338539870632356e-11
0.43	1.9333558478728703e-11
0.44	1.932852226544503e-11
0.45	1.9323901341519246e-11
0.45999999999999996	1.9319649072606126e-11
0.47	1.9315445815942878e-11
0.48	1.9310911301815447e-11
0.49	1.930732605488228e-11
0.5	1.9303147154213144e-11
0.51	1.9299276804697588e-11
0.52	1.9294759503877008e-11
0.53	1.9291380801101205e-11
0.54	1.9287820258464823e-11
0.55	1.9284295528323658e-11
0.56	1.9281370289784917e-11
0.5700000000000001	1.9277657160488418e-11
0.58	1.9274182596026233e-11
0.59	1.9270840218243264e-11
0.6	1.9266118355028727e-11
0.61	1.92624847541471e-11
0.62	1.925960359437765e-11
0.63	1.9257312915961952e-11
0.64	1.9254152717908368e-11
0.6499999999999999	1.9251174098889633e-11
0.6599999999999999	1.9248612886916793e-11
0.6699999999999999	1.9245666168370307e-11
0.6799999999999999	1.9242830537830797e-11
0.69	1.923976763503058e-11
0.7	1.9236809882302383e-11
0.71	1.9233573072427998e-11
0.72	1.9229902976658857e-11
0.73	1.9226905400904078e-11
0.74	1.922424984654084e-11
0.75	1.922184342074489e-11
0.76	1.9219032914571976e-11
0.77	1.92164580834347e-11
0.78	1.921431643535986e-11
0.79	1.9212787549031468e-11
0.8	1.9210623732070047e-11
0.81	1.9208604544729565e-11
0.8200000000000001	1.9206333551735114e-11
0.83	1.920280053729511e-11
0.84	1.919989879097659e-11
0.85	1.9197766902372353e-11
0.86	1.9195695834216044e-11
0.87	1.9193472798988017e-11
0.88	1.9191149235455224e-11
0.89	1.9189195590152458e-11
0.9	1.9186319934086538e-11
0.91	1.9184297362299855e-11
0.92	1.9181980918094335e-11
0.93	1.918026374475557e-11
0.9400000000000001	1.9177637964467867e-11
0.9500000000000001	1.9175003138169806e-11
0.9600000000000001	1.9172753015448473e-11
0.97	1.9171220939720183e-11
0.98	1.9169259056924714e-11
0.99	1.9166536186135872e-11
1.	1.9165061459585205e-11
1.01	1.9162827982185834e-11
1.02	1.9161002148307656e-11
1.03	1.915933149961793e-11
1.04	1.915787529980834e-11
1.05	1.9155434955421114e-11
1.06	1.915396880421152e-11
1.07	1.9151941374784652e-11
1.08	1.915025617601874e-11
1.09	1.9148347257884166e-11
1.1	1.914674629832983e-11
1.11	1.9145053681961405e-11
1.12	1.9143091579730184e-11
1.1300000000000001	1.9141431183417533e-11
1.1400000000000001	1.9140147240398075e-11
1.1500000000000001	1.9138217286122985e-11
1.1600000000000001	1.9136699237597788e-11
1.1700000000000002	1.9134420224737775e-11
1.1800000000000002	1.9132881682085432e-11
1.19	1.9131291025157695e-11
1.2000000000000002	1.9128680465506023e-11
1.21	1.9128134802981345e-11
1.22	1.9125428246548545e-11
1.2300000000000002	1.9124005684674543e-11
